source_file,line,current_icon,icon_name,inferred_function,exists,status,line_text
docs/assets/fragments/layers/website/home/interaction-settings/sections/session/index.html,19,core/identity/unclassified/session.svg,session,session,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/identity/unclassified/session.svg"" alt="""">"
docs/assets/fragments/layers/website/home/interaction-settings/sections/session/index.html,64,core/navigation/unclassified/right.svg,right,right,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware home-interaction-settings-panel__drill-indicator-icon"" src=""/assets/icons/core/navigation/unclassified/right.svg"" alt="""">"
docs/assets/fragments/layers/website/home/interaction-settings/sections/session/index.html,74,core/navigation/unclassified/right.svg,right,right,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware home-interaction-settings-panel__drill-indicator-icon"" src=""/assets/icons/core/navigation/unclassified/right.svg"" alt="""">"
docs/assets/fragments/layers/website/home/interaction-settings/sections/session/index.html,84,core/navigation/unclassified/right.svg,right,right,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware home-interaction-settings-panel__drill-indicator-icon"" src=""/assets/icons/core/navigation/unclassified/right.svg"" alt="""">"
docs/assets/fragments/layers/website/home/interaction-settings/sections/session/persistence.html,19,core/identity/unclassified/session.svg,session,session,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/identity/unclassified/session.svg"" alt="""">"
docs/assets/fragments/layers/website/home/interaction-settings/sections/session/reset-behavior.html,19,core/identity/unclassified/session.svg,session,session,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/identity/unclassified/session.svg"" alt="""">"
docs/assets/fragments/layers/website/home/interaction-settings/sections/stage/index.html,23,core/system/unclassified/stage.svg,stage,stage,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/system/unclassified/stage.svg"" alt="""">"
docs/assets/fragments/layers/website/home/interaction-settings/sections/voice/index.html,19,core/interface/status/experience.svg,experience,experience,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/interface/status/experience.svg"" alt="""">"
docs/assets/fragments/layers/website/home/interaction-settings/sections/workspace/index.html,19,core/productivity/workspace/workspace.svg,workspace,workspace,yes,TRUE_MATCH_REVIEW,"<img class=""ui-icon-theme-aware"" src=""/assets/icons/core/productivity/workspace/workspace.svg"" alt="""">"
docs/assets/fragments/layers/website/home/platform-menu/home-platform-shell.html,49,core/navigation/unclassified/sidebar-active.svg,sidebar-active,sidebar-active,yes,TRUE_MATCH_REVIEW,"src=""/assets/icons/core/navigation/unclassified/sidebar-active.svg"""
docs/assets/fragments/layers/website/home/platform-menu/home-platform-shell.html,52,core/navigation/unclassified/sidebar-active.svg,sidebar-active,sidebar-active,yes,TRUE_MATCH_REVIEW,"data-home-platform-rail-icon-expanded=""/assets/icons/core/navigation/unclassified/sidebar-active.svg"""
docs/assets/fragments/layers/website/home/platform-menu/home-platform-shell.html,53,core/navigation/unclassified/sidebar-left.svg,sidebar-left,sidebar-left,yes,TRUE_MATCH_REVIEW,"data-home-platform-rail-icon-collapsed=""/assets/icons/core/navigation/unclassified/sidebar-left.svg"">"
docs/assets/fragments/layers/website/home/platform-menu/home-platform-shell.html,73,core/navigation/unclassified/home.svg,home,home,yes,TRUE_MATCH_REVIEW,"<span class=""home-platform-shell__nav-icon inline-stroke-icon"" data-inline-stroke-icon aria-hidden=""true""><img class=""ui-icon-theme-aware"" src=""/assets/icons/core/navigation/unclassified/home.svg"" alt=""""></span>"
docs/assets/fragments/layers/website/home/platform-menu/home-platform-shell.html,77,core/cognition/unclassified/continuity.svg,continuity,continuity,yes,TRUE_MATCH_REVIEW,"<span class=""home-platform-shell__nav-icon inline-stroke-icon"" data-inline-stroke-icon aria-hidden=""true""><img class=""ui-icon-theme-aware"" src=""/assets/icons/core/cognition/unclassified/continuity.svg"" alt=""""></span>"
docs/assets/fragments/layers/website/home/platform-menu/home-platform-shell.html,81,core/productivity/workspace/workspace.svg,workspace,workspace,yes,TRUE_MATCH_REVIEW,"<span class=""home-platform-shell__nav-icon inline-stroke-icon"" data-inline-stroke-icon aria-hidden=""true""><img class=""ui-icon-theme-aware"" src=""/assets/icons/core/productivity/workspace/workspace.svg"" alt=""""></span>"
docs/assets/fragments/layers/website/home/platform-menu/home-platform-shell.html,85,core/identity/unclassified/profile.svg,profile,profile,yes,TRUE_MATCH_REVIEW,"<span class=""home-platform-shell__nav-icon inline-stroke-icon"" data-inline-stroke-icon aria-hidden=""true""><img class=""ui-icon-theme-aware"" src=""/assets/icons/core/identity/unclassified/profile.svg"" alt=""""></span>"
docs/assets/fragments/layers/website/home/platform-menu/home-platform-shell.html,89,core/system/unclassified/settings.svg,settings,settings,yes,TRUE_MATCH_REVIEW,"<span class=""home-platform-shell__nav-icon inline-stroke-icon"" data-inline-stroke-icon aria-hidden=""true""><img class=""ui-icon-theme-aware"" src=""/assets/icons/core/system/unclassified/settings.svg"" alt=""""></span>"
docs/assets/fragments/layers/website/home/platform-menu/home-platform-shell.html,93,core/communication/messaging/messages.svg,messages,messages,yes,TRUE_MATCH_REVIEW,"<span class=""home-platform-shell__nav-icon inline-stroke-icon"" data-inline-stroke-icon aria-hidden=""true""><img class=""ui-icon-theme-aware"" src=""/assets/icons/core/communication/messaging/messages.svg"" alt=""""></span>"
